id_enrolement,id_piece,type_piece,agent_id,centre_enrolement,date_enrolement,nom,prenoms,date_naissance,sexe,code_commune_naissance,nom_mere,telephone
ENR-000001,CC-000668,CARTE_CONSULAIRE,AG019,Djougou,2025-01-01,BONI,Ghislain,1962-07-06,M,0102,ASSOGBA Chimène,0176088497
ENR-000002,AN-000672,ACTE_NAISSANCE,AG017,Bohicon,2025-01-01,AGOSSOU,Estelle,1964-02-19,F,0302,NOUATIN Ayaba,0142221657
ENR-000003,AN-001398,ACTE_NAISSANCE,AG040,Parakou,2025-01-01,BONI,Koffi Fabrice,1954-09-23,M,1205,AGBODJAN Salamatou,0189087715
ENR-000004,CC-001954,CARTE_CONSULAIRE,AG001,Cotonou,2025-01-01,QUENUM,Mariam,2013-05-21,F,0704,SOSSOU Estelle,0186347756
ENR-000005,AN-001988,ACTE_NAISSANCE,AG005,Bohicon,2025-01-01,KIKI,Ulrich,1994-05-17,M,0307,BONI Gisèle,0186209469
ENR-000006,AN-002212,ACTE_NAISSANCE,AG032,Lokossa,2025-01-01,NOUATIN,Sènami Carine,1966-07-31,F,0204,AGOSSOU Prudence,
ENR-000007,PP-002934,PASSEPORT,AG010,Kandi,2025-01-01,AHOUANSOU,Sènami Rosine,1961-06-12,F,0702,AHOUANSOU Sylvie,
ENR-000008,CC-003472,CARTE_CONSULAIRE,AG030,Natitingou,2025-01-01,DOSSOU,Bienvenu,2011-07-28,M,1006,OSSENI Prudence,0111731833
ENR-000009,AN-001526,ACTE_NAISSANCE,AG025,Cotonou,2025-01-02,QUENUM,Sènami Prudence,2002-04-22,F,0505,QUENUM Carine,0168347579
ENR-000010,PP-001719,PASSEPORT,AG015,Porto-Novo,2025-01-02,OSSENI,Chimène Sèmèvo,2000-01-17,F,0103,MENSAH Fatoumata,0159112592
ENR-000011,PP-001854,PASSEPORT,AG010,Kandi,2025-01-02,ADANDE,Judith,1963-01-28,F,0402,ALLADAYE Ayaba,0102227257
ENR-000012,AN-002398,ACTE_NAISSANCE,AG017,Bohicon,2025-01-02,AGOSSOU,Sylvie,1992-12-15,F,0506,TOGBE Carine,
ENR-000013,CC-002491,CARTE_CONSULAIRE,AG002,Abomey-Calavi,2025-01-02,SOSSOU,Fabrice Rodrigue,1959-04-18,M,0604,CHABI Prudence,
ENR-000014,AN-002920,ACTE_NAISSANCE,AG018,Natitingou,2025-01-02,IDRISSOU,Rosine,1990-08-14,F,0407,GLELE Mariam,0157197217
ENR-000015,CC-003024,CARTE_CONSULAIRE,AG025,Cotonou,2025-01-02,GBAGUIDI,Espérance,1950-04-28,F,0203,HOUNKPATIN Fatoumata,0148638482
ENR-000016,PP-003601,PASSEPORT,AG029,Bohicon,2025-01-02,SOULEY,Mariam,1989-09-11,F,0101,DANSOU Aïcha,0120466345
ENR-000017,AN-003783,ACTE_NAISSANCE,AG006,Natitingou,2025-01-02,TOGBE,Arnaud,1986-10-10,M,1002,HOUNGBO Estelle,0118793905
ENR-000018,AN-003915,ACTE_NAISSANCE,AG024,Aplahoué,2025-01-02,HOUESSOU,Judith,1991-08-16,F,0606,SOSSOU Sèmèvo,0181410431
ENR-000019,AN-004241,ACTE_NAISSANCE,AG026,Abomey-Calavi,2025-01-02,SOSSOU,Estelle Aïcha,1983-10-01,F,0502,NOUATIN Sèmèvo,0124775064
ENR-000020,AN-004916,ACTE_NAISSANCE,AG031,Djougou,2025-01-02,HOUESSOU,Senami,1954-03-14,F,1201,DANSOU Gisele,0170492833
ENR-000021,CC-004922,CARTE_CONSULAIRE,AG026,Abomey-Calavi,2025-01-02,KOUKPAKI,Ayaba,1981-06-18,F,0202,IDRISSOU Sènami,0123736765
ENR-000022,PP-000516,PASSEPORT,AG005,Bohicon,2025-01-03,AHOYO,Romaric Koffi,1994-04-10,M,1005,SAGBO Mariam,0185678315
ENR-000023,AN-000838,ACTE_NAISSANCE,AG018,Natitingou,2025-01-03,YAROU,Romaric,2008-02-17,M,0606,CHABI Salamatou,0125291079
ENR-000024,AN-001879,ACTE_NAISSANCE,AG026,Abomey-Calavi,2025-01-03,VODOUNON,Rachidatou,1980-08-25,F,1205,ZANNOU Judith,0129900297
ENR-000025,AN-002223,ACTE_NAISSANCE,AG010,Kandi,2025-01-03,MENSAH,Bienvenu Brice,1989-07-26,M,0703,ADJOVI Fatoumata,0128180115
ENR-000026,PP-003497,PASSEPORT,AG040,Parakou,2025-01-03,CODJIA,Ulrich Bienvenu,1995-02-21,M,0101,ADJOVI Carine,
ENR-000027,AN-004008,ACTE_NAISSANCE,AG032,Lokossa,2025-01-03,BIO,Bienvenu,1995-06-05,M,1207,HOUNSOU Rosine,0170528305
ENR-000028,CC-004920,CARTE_CONSULAIRE,AG019,Djougou,2025-01-03,VODOUNON,Mahougnon,1966-07-19,M,0302,LOKONON Chimène,0109037591
ENR-000029,AN-000953,ACTE_NAISSANCE,AG003,Porto-Novo,2025-01-04,LOKONON,Sylvie,1986-05-06,F,0206,HOUNGBO Sèmèvo,0133737935
ENR-000030,AN-001325,ACTE_NAISSANCE,AG007,Djougou,2025-01-04,AMOUSSOU,Rachid Serge,2011-05-15,M,0301,BIO Fatoumata,0191187113
ENR-000031,CC-001579,CARTE_CONSULAIRE,AG029,Bohicon,2025-01-04,OSSENI,Comlan Romaric,2012-01-13,M,0601,ZINSOU Flore,0115735202
ENR-000032,PP-002533,PASSEPORT,AG006,Natitingou,2025-01-04,ZANNOU,Romaric Mahougnon,1970-10-14,M,0501,ASSOGBA Salamatou,0160409569
