id_enrolement,id_piece,agent_id,centre_enrolement,date_enrolement,code_regle,champ,valeur_saisie,valeur_attendue,gravite
ENR-000065,AN-000854,AG023,Dassa-Zoumè,2025-01-08,R01,nom,MENASH,MENSAH,Haute
ENR-000225,AN-001048,AG022,Kandi,2025-01-25,R01,nom,CHAFI,CHABI,Haute
ENR-000626,CC-002421,AG018,Natitingou,2025-03-10,R01,nom,OUSENI,OSSENI,Haute
ENR-000646,CC-000521,AG005,Bohicon,2025-03-13,R01,nom,DANSZU,DANSOU,Haute
ENR-000728,AN-004600,AG034,Kandi,2025-03-19,R01,nom,SOSSOUU,SOSSOU,Haute
ENR-000762,AN-003684,AG030,Natitingou,2025-03-23,R01,nom,GBAGUIDII,GBAGUIDI,Haute
ENR-000772,CC-003918,AG037,Cotonou,2025-03-24,R01,nom,TSHIBOZO,TCHIBOZO,Haute
ENR-000852,PP-002326,AG028,Parakou,2025-04-01,R01,nom,CHABBI,CHABI,Haute
ENR-000868,AN-001034,AG023,Dassa-Zoumè,2025-04-03,R01,nom,ALLADAYEE,ALLADAYE,Haute
ENR-000909,AN-004044,AG011,Dassa-Zoumè,2025-04-07,R01,nom,SOULIY,SOULEY,Haute
ENR-001006,AN-004956,AG026,Abomey-Calavi,2025-04-18,R01,nom,ADJOVQ,ADJOVI,Haute
ENR-001031,AN-000621,AG014,Abomey-Calavi,2025-04-23,R01,nom,HOLNGBO,HOUNGBO,Haute
ENR-001294,CC-002241,AG030,Natitingou,2025-05-19,R01,nom,HOUESOU,HOUESSOU,Haute
ENR-001389,AN-000525,AG029,Bohicon,2025-05-31,R01,nom,OHUNSOU,HOUNSOU,Haute
ENR-001489,AN-001257,AG023,Dassa-Zoumè,2025-06-11,R01,nom,DDOSSOU,DOSSOU,Haute
ENR-001494,AN-003779,AG012,Aplahoué,2025-06-11,R01,nom,GLEELE,GLELE,Haute
ENR-001592,AN-003861,AG030,Natitingou,2025-06-22,R01,nom,IDSISSOU,IDRISSOU,Haute
ENR-001712,PP-000996,AG023,Dassa-Zoumè,2025-07-04,R01,nom,SOELEY,SOULEY,Haute
ENR-001894,AN-003481,AG023,Dassa-Zoumè,2025-07-25,R01,nom,ODJIA,CODJIA,Haute
ENR-001914,AN-001359,AG017,Bohicon,2025-07-27,R01,nom,APOVI,AKPOVI,Haute
ENR-002043,AN-002872,AG031,Djougou,2025-08-11,R01,nom,OSSOU,SOSSOU,Haute
