id_piece,type_piece,nom,prenoms,date_naissance,sexe,code_commune_naissance,nom_mere
AN-000001,ACTE_NAISSANCE,DANSOU,Justin,1971-06-14,M,1208,OSSENI Rosine
AN-000002,ACTE_NAISSANCE,GBAGUIDI,Fatoumata,1982-12-29,F,1204,KIKI Estelle
AN-000003,ACTE_NAISSANCE,DANSOU,Salamatou,1969-08-14,F,0903,HOUESSOU Chimène
CC-000004,CARTE_CONSULAIRE,SOSSOU,Justin Moussa,2009-01-04,M,1005,CODJIA Gisèle
PP-000005,PASSEPORT,YAROU,Rodrigue,1969-08-22,M,0403,FASSINOU Ayaba
AN-000006,ACTE_NAISSANCE,HOUNGBO,Sylvie,1966-07-25,F,0504,DANSOU Rachidatou
AN-000007,ACTE_NAISSANCE,ADANDE,Romaric Gildas,1982-08-09,M,0703,TOSSOU Sènami
CC-000008,CARTE_CONSULAIRE,KOUKPAKI,Salamatou,1954-09-04,F,1102,IDRISSOU Fatoumata
AN-000009,ACTE_NAISSANCE,OSSENI,Rachid,1998-12-06,M,0605,SOSSOU Ayaba
AN-000010,ACTE_NAISSANCE,ZANNOU,Mahougnon Bienvenu,2017-03-21,M,0106,ZINSOU Gisèle
AN-000011,ACTE_NAISSANCE,TCHIBOZO,Fidèle,1989-02-09,M,0603,ZANNOU Rachidatou
AN-000012,ACTE_NAISSANCE,BONI,Nadège,2022-07-10,F,0606,IDRISSOU Gisèle
AN-000013,ACTE_NAISSANCE,LOKONON,Flore Nadège,1985-11-30,F,0302,AHOUANSOU Chimène
AN-000014,ACTE_NAISSANCE,ADJOVI,Arnaud,2001-05-20,M,0905,FASSINOU Salamatou
AN-000015,ACTE_NAISSANCE,QUENUM,Prudence,1999-05-13,F,0105,SOULEY Aïcha
CC-000016,CARTE_CONSULAIRE,ALLADAYE,Salamatou,1999-08-16,F,0301,KOUKPAKI Salamatou
AN-000017,ACTE_NAISSANCE,ZINSOU,Rodrigue,1997-07-31,M,0602,AGBODJAN Salamatou
AN-000018,ACTE_NAISSANCE,KIKI,Carine,2018-04-05,F,1008,IDRISSOU Chimène
AN-000019,ACTE_NAISSANCE,GLELE,Sènami,1991-05-25,F,0305,SOULEY Rachidatou
PP-000020,PASSEPORT,BIO,Sylvie,2008-02-28,F,1104,IDRISSOU Espérance
AN-000021,ACTE_NAISSANCE,NOUATIN,Prudence,1987-02-07,F,0603,MENSAH Espérance
AN-000022,ACTE_NAISSANCE,ALLADAYE,Flore,2006-02-20,F,1202,ALLADAYE Rachidatou
PP-000023,PASSEPORT,GLELE,Arnaud,2006-04-05,M,0101,YAROU Judith
AN-000024,ACTE_NAISSANCE,CODJIA,Fidèle,1981-05-22,M,1101,SOSSOU Gisèle
PP-000025,PASSEPORT,AHOYO,Rosine Sylvie,1993-02-23,F,0605,DANSOU Fatoumata
AN-000026,ACTE_NAISSANCE,ADANDE,Fidèle,1967-07-08,M,1003,FASSINOU Carine
AN-000027,ACTE_NAISSANCE,AHOUANSOU,Sènami,1979-06-27,F,1101,VODOUNON Gisèle
PP-000028,PASSEPORT,CODJIA,Serge,1967-07-16,M,0701,ADJOVI Espérance
AN-000029,ACTE_NAISSANCE,AHOYO,Romaric Bienvenu,1945-11-14,M,0406,BONI Nadège
AN-000030,ACTE_NAISSANCE,ASSOGBA,Espérance,1986-10-30,F,1007,AHOYO Aïcha
AN-000031,ACTE_NAISSANCE,SOULEY,Sèmèvo,1995-11-11,F,0602,HOUNSOU Flore
CC-000032,CARTE_CONSULAIRE,LOKONON,Aïcha,1997-11-12,F,0308,FASSINOU Bernice
AN-000033,ACTE_NAISSANCE,SAGBO,Romaric Fidèle,2008-06-07,M,0704,ZINSOU Fatoumata
PP-000034,PASSEPORT,KPADONOU,Codjo Fidèle,1954-08-22,M,0504,KIKI Rachidatou
CC-000035,CARTE_CONSULAIRE,BONI,Bernice,1961-12-08,F,0905,TOSSOU Aïcha
AN-000036,ACTE_NAISSANCE,CHABI,Rachid,1963-06-15,M,1002,AGOSSOU Sylvie
CC-000037,CARTE_CONSULAIRE,AGOSSOU,Ibrahim,2012-01-25,M,0209,GBAGUIDI Rachidatou
CC-000038,CARTE_CONSULAIRE,BONI,Rachidatou,2021-05-23,F,0504,BIO Ayaba
AN-000039,ACTE_NAISSANCE,DOSSOU,Ibrahim,1983-04-05,M,1204,SAGBO Chimène
AN-000040,ACTE_NAISSANCE,ZINSOU,Rachid,1986-10-04,M,1206,BONI Mariam
AN-000041,ACTE_NAISSANCE,SOSSOU,Espérance,1973-07-04,F,0606,TOSSOU Estelle
AN-000042,ACTE_NAISSANCE,TCHIBOZO,Romaric,1984-07-09,M,1008,HOUESSOU Sènami
