id_enrolement,id_piece,type_anomalie,regles_attendues,champ,valeur_saisie,valeur_attendue
ENR-000002,AN-000672,AGE_INVRAISEMBLABLE,R03;R07,date_naissance,1902-03-06,1964-02-19
ENR-000056,AN-001587,ECART_DATE_NAISSANCE,R03,date_naissance,1999-07-23,1999-07-22
ENR-000061,CC-004765,ECART_DATE_NAISSANCE,R03,date_naissance,2001-06-25,2001-05-26
ENR-000065,AN-000854,ECART_NOM,R01,nom,MENASH,MENSAH
ENR-000086,AN-000895,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0399,0304
ENR-000097,PP-004053,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,FASSINOU Nadège
ENR-000170,AN-000300,CHAMP_OBLIGATOIRE_MANQUANT,R09,nom_mere,,GLELE Sylvie
ENR-000225,AN-001048,ECART_NOM,R01,nom,CHAFI,CHABI
ENR-000232,CC-001460,CODE_COMMUNE_INEXISTANT,R05;R08,code_commune_naissance,0199,1009
ENR-000237,CC-004104,TELEPHONE_INVALIDE,R10,telephone,44103923,(numéro valide attendu : 01 + 8 chiffres)
ENR-000260,AN-001698,ECART_LIEU_NAISSANCE,R05,code_commune_naissance,1008,0704
ENR-000299,CC-002414,DOUBLON,R11,id_piece,CC-002414,déjà enrôlé sous ENR-000079
ENR-000303,AN-004948,DATE_NAISSANCE_POSTERIEURE,R03;R06,date_naissance,2025-10-17,1975-06-02
ENR-000304,CC-004999,ECART_DATE_NAISSANCE,R03,date_naissance,1972-06-07,1972-07-06
ENR-000345,PP-001232,ECART_SEXE,R04,sexe,M,F
ENR-000360,AN-004337,ECART_PRENOMS,R02,prenoms,Kofi,Koffi
ENR-000375,AN-003133,ECART_PRENOMS,R02,prenoms,Ibrahio,Ibrahim
ENR-000426,AN-000761,TELEPHONE_INVALIDE,R10,telephone,0201172119,(numéro valide attendu : 01 + 8 chiffres)
ENR-000430,AN-004039,TELEPHONE_INVALIDE,R10,telephone,019472183701,(numéro valide attendu : 01 + 8 chiffres)
ENR-000493,PP-000222,ECART_DATE_NAISSANCE,R03,date_naissance,1982-06-13,1981-06-13
